numero de elementos ; tempo
1 ; 3.88388E-4
10 ; 2.6264E-5
20 ; 3.3333E-5
30 ; 5.1564E-5
40 ; 8.8297E-5
50 ; 9.6973E-5
60 ; 1.2112E-4
70 ; 1.50707E-4
80 ; 2.01626E-4
90 ; 1.93208E-4
100 ; 2.15619E-4
110 ; 2.38523E-4
120 ; 2.83167E-4
130 ; 3.22145E-4
140 ; 3.37802E-4
150 ; 3.62645E-4
160 ; 3.86245E-4
170 ; 4.11339E-4
180 ; 4.40331E-4
190 ; 5.03977E-4
200 ; 4.91305E-4
210 ; 5.43042E-4
220 ; 6.14852E-4
230 ; 3.28816E-4
240 ; 3.02494E-4
250 ; 3.42166E-4
260 ; 3.73126E-4
270 ; 4.10902E-4
280 ; 3.90715E-4
290 ; 4.07856E-4
300 ; 3.39657E-4
310 ; 3.52134E-4
320 ; 3.81845E-4
330 ; 3.2062E-4
340 ; 3.51861E-4
350 ; 3.357E-4
360 ; 3.54426E-4
370 ; 3.73678E-4
380 ; 4.01327E-4
390 ; 3.89538E-4
400 ; 4.17782E-4
410 ; 4.02857E-4
420 ; 4.30852E-4
430 ; 4.4966E-4
440 ; 4.31544E-4
450 ; 4.54831E-4
460 ; 4.56748E-4
470 ; 4.68948E-4
480 ; 4.72307E-4
490 ; 4.80378E-4
500 ; 4.87357E-4
510 ; 5.01173E-4
520 ; 4.98362E-4
530 ; 5.07088E-4
540 ; 4.65788E-4
550 ; 5.06445E-4
560 ; 5.15699E-4
570 ; 5.21874E-4
580 ; 5.46254E-4
590 ; 5.25238E-4
600 ; 5.40279E-4
610 ; 5.10332E-4
620 ; 4.97195E-4
630 ; 4.67036E-4
640 ; 3.74333E-4
650 ; 2.61136E-4
660 ; 2.63478E-4
670 ; 2.09838E-4
680 ; 1.78118E-4
690 ; 1.75143E-4
700 ; 1.78881E-4
710 ; 1.8039E-4
720 ; 1.79681E-4
730 ; 1.7918E-4
740 ; 1.76708E-4
750 ; 1.8683E-4
760 ; 1.85909E-4
770 ; 1.85287E-4
780 ; 1.89771E-4
790 ; 1.9243E-4
800 ; 1.94403E-4
810 ; 1.97052E-4
820 ; 1.97491E-4
830 ; 2.03249E-4
840 ; 2.0118E-4
850 ; 2.19693E-4
860 ; 1.67695E-4
870 ; 1.85982E-4
880 ; 1.63403E-4
890 ; 1.51529E-4
900 ; 1.54932E-4
910 ; 1.77051E-4
920 ; 1.53988E-4
930 ; 1.66487E-4
940 ; 1.5527E-4
950 ; 1.56654E-4
960 ; 1.59165E-4
970 ; 1.5446E-4
980 ; 1.57421E-4
990 ; 1.66834E-4
1000 ; 1.5925E-4
