numero de elementos ; tempo
1 ; 0.007732865
10000 ; 0.194996797
20000 ; 0.14147198
30000 ; 0.110377676
40000 ; 0.147149385
50000 ; 0.182028277
60000 ; 0.442841915
70000 ; 0.252746508
80000 ; 0.286730173
90000 ; 0.322158041
100000 ; 0.36166334
110000 ; 0.396420792
120000 ; 0.424045808
130000 ; 0.460780761
140000 ; 0.500281192
150000 ; 0.534613246
160000 ; 0.566956659
170000 ; 0.604605702
180000 ; 0.642485285
190000 ; 0.669459339
200000 ; 0.688919698
210000 ; 0.743022535
220000 ; 0.772339525
230000 ; 0.817244273
240000 ; 0.8425821
250000 ; 0.888479976
260000 ; 0.898976739
270000 ; 0.941518785
280000 ; 0.978978904
290000 ; 1.002964735
300000 ; 1.019239158
310000 ; 1.083608494
320000 ; 1.105020374
330000 ; 1.14233825
340000 ; 1.177169125
350000 ; 1.210355294
360000 ; 1.241044365
370000 ; 1.281180185
380000 ; 1.328361507
390000 ; 1.342505183
400000 ; 1.39089517
410000 ; 1.419278044
420000 ; 1.453139581
430000 ; 1.473337573
440000 ; 1.51121105
450000 ; 1.568353668
460000 ; 1.585684875
470000 ; 1.643426528
480000 ; 1.660768545
490000 ; 1.692466824
500000 ; 1.719604287
510000 ; 1.756477537
520000 ; 1.848446534
530000 ; 1.83816194
540000 ; 1.881954363
550000 ; 1.88131331
560000 ; 1.937497465
570000 ; 1.967789677
580000 ; 2.043974212
590000 ; 2.033040678
600000 ; 2.064875759
610000 ; 2.094447561
620000 ; 2.120669199
630000 ; 2.176583048
640000 ; 2.204789313
650000 ; 2.238993761
660000 ; 2.285717473
670000 ; 2.292269585
680000 ; 2.336389554
690000 ; 2.369303564
700000 ; 2.415927271
710000 ; 2.451723516
720000 ; 2.476893865
730000 ; 2.511185353
740000 ; 2.654217564
750000 ; 2.57669273
760000 ; 2.626827655
770000 ; 2.957336549
780000 ; 2.711210361
790000 ; 2.730578628
800000 ; 2.777255824
810000 ; 2.828215771
820000 ; 2.818154145
830000 ; 2.838841584
840000 ; 3.21827187
850000 ; 2.953956349
860000 ; 2.963304139
870000 ; 2.992429949
880000 ; 3.027716063
890000 ; 3.057478843
900000 ; 3.121441944
910000 ; 3.126776303
920000 ; 3.156306322
930000 ; 3.198351875
940000 ; 3.232454114
950000 ; 3.272621162
960000 ; 3.323249961
970000 ; 3.926719011
980000 ; 3.363608512
990000 ; 3.400575159
1000000 ; 3.449211688
